Time Stamp,ID,Extended,Dir,Bus,DLC,D0,D1,D2,D3,D4,D5,D6,D7
393,B5,FALSE,Rx,0,8,0E,0B,80,0,8,30,21,73
395,A8,FALSE,Rx,0,8,0C,A0,1,A0,1,0F,0F,2
397,AA,FALSE,Rx,0,8,78,B0,1,0,7A,0D,80,14
400,B4,FALSE,Rx,0,8,25,0,0,0,7D,0,F0,2
402,150,FALSE,Rx,0,8,C5,0,93,0,0,0,0,E0
404,B5,FALSE,Rx,0,8,0F,0C,80,0,8,30,21,73
406,153,FALSE,Rx,0,7,59,0,DA,7,80,DA,C7,
408,A8,FALSE,Rx,0,8,4D,C1,1,C0,1,0F,0F,2
410,B6,FALSE,Rx,0,5,0D,0D,80,0,C8,,,
412,498,FALSE,Rx,0,8,1C,42,FC,FF,FF,FF,FF,FF
414,B5,FALSE,Rx,0,8,10,0D,80,0,8,30,21,73
416,BA,FALSE,Rx,0,8,5,FF,3F,0,0,5D,8E,CF
418,A8,FALSE,Rx,0,8,4E,C2,1,C0,1,0F,0F,2
422,150,FALSE,Rx,0,8,C6,1,93,0,0,0,0,E0
424,130,FALSE,Rx,0,5,45,42,21,8F,77,,,
425,310,FALSE,Rx,0,7,94,3B,9B,1,0,CF,1D,
427,A8,FALSE,Rx,0,8,6F,D3,1,D0,1,0F,0F,2
430,A9,FALSE,Rx,0,8,24,1,B2,CF,0E,17,D0,1
432,B5,FALSE,Rx,0,8,11,0E,80,0,8,30,21,73
434,1B4,FALSE,Rx,0,8,0,D0,E0,FC,0,30,FC,91
436,BA,FALSE,Rx,0,8,5,FF,3F,0,0,4F,80,CF
438,1A2,FALSE,Rx,0,8,5B,17,0,0F,D0,7,C0,BD
440,C4,FALSE,Rx,0,7,49,8,FC,0,0,FF,F1,
442,150,FALSE,Rx,0,8,C7,2,93,0,0,0,0,E0
444,153,FALSE,Rx,0,7,5B,2,DA,7,80,DA,C7,
446,BF,FALSE,Rx,0,5,82,2,FF,FF,C0,,,
448,A8,FALSE,Rx,0,8,71,D5,1,D0,1,0F,0F,2
450,C4,FALSE,Rx,0,7,49,8,FC,0,0,FF,F1,
452,2B2,FALSE,Rx,0,8,0,0,0,0,20,0,0,4
454,B5,FALSE,Rx,0,8,4,1,80,0,8,30,21,73
457,BA,FALSE,Rx,0,8,5,FF,3F,0,0,50,81,CF
459,A8,FALSE,Rx,0,8,52,C6,1,C0,1,0F,0F,2
461,1.00E+01,FALSE,Rx,0,6,DF,FC,0,FF,FF,FF,,
464,153,FALSE,Rx,0,7,5C,3,DA,7,80,DA,C7,
